#,Name,Team,GS,G,IP,TBF,W,L,QS,SV,HLD,BS,H,R,ER,HR,IBB,HBP,SO,BB,K/9,BB/9,ERA,WHIP,K%,BB%,real_GS,real_G,real_IP,real_TBF,real_W,real_L,real_QS,real_SV,real_HLD,real_BS,real_H,real_R,real_ER,real_HR,real_IBB,real_HBP,real_SO,real_BB,real_K/9,real_BB/9,real_ERA,real_WHIP,real_K%,real_BB%
1,Tarik Skubal,DET,32,32,198,789,43.75,28.125,68.75,0,0,,20.278833967046893,8.618504436,7.858048162230672,2.2813688212927756,,0.8871989860583016,229,42,10.41,1.93,2.83,1.02,29.02408111533587,5.323193916349809,31,31,195.1,748,41.935483870967744,19.35483870967742,,0,0,0,18.850267379679146,7.352941176470589,6.417112299465241,2.406417112299465,0,0.6684491978609626,241,33,11.1,1.52,2.21,0.89,32.21925134,4.411764706
2,Paul Skenes,PIT,31,31,174,701,35.483870967741936,22.58064516129032,64.51612903225806,0,0,,19.828815977175463,9.129814551,8.273894436519258,2.282453637660485,,0.8559201141226819,214,50,11.07,2.57,3,1.08,30.527817403708983,7.132667617689016,32,32,187.2,733,31.25,31.25,,0,0,0,18.55388813096862,6.139154160982264,5.5934515688949515,1.5006821282401093,0,0.8185538881309686,216,42,10.36,2.01,1.97,0.95,29.46793997,5.729877217
3,Zack Wheeler,PHI,32,32,202,821,43.75,28.125,62.5,0,0,,20.828258221680876,9.744214372716199,9.013398294762483,2.5578562728380025,,0.9744214372716199,214,53,9.53,2.36,3.3,1.11,26.065773447015832,6.455542021924482,24,24,149.2,585,41.66666666666667,20.833333333333336,,0,0,0,18.29059829059829,8.205128205128204,7.6923076923076925,3.2478632478632483,0,1.3675213675213675,195,33,11.73,1.98,2.71,0.94,33.33333333,5.641025641
4,Chris Sale,ATL,31,31,182,744,45.16129032258064,22.58064516129032,64.51612903225806,0,0,,20.43010752688172,9.005376344086022,8.198924731182796,2.4193548387096775,,1.3440860215053763,224,47,11.07,2.3,3.03,1.09,30.107526881720432,6.317204301075269,20,21,125.2,510,33.33333333333333,23.809523809523807,,0,0,0,20,7.450980392156863,7.0588235294117645,2.156862745098039,0,2.156862745098039,165,32,11.82,2.29,2.58,1.07,32.35294118,6.274509804
5,Garrett Crochet,BOS,31,31,157,639,41.935483870967744,22.58064516129032,61.29032258064516,0,0,,19.718309859154928,8.920187793,8.137715179968701,2.190923317683881,,0.7824726134585289,200,49,11.49,2.8,2.99,1.12,31.29890453834116,7.668231611893583,32,32,205.1,814,56.25,15.625,,0,0,0,20.27027027027027,7.616707616707617,7.2481572481572485,2.9484029484029484,0,0.36855036855036855,255,46,11.18,2.02,2.59,1.03,31.32678133,5.651105651
6,Jacob deGrom,TEX,26,26,132,517,34.61538461538461,15.384615384615385,61.53846153846154,0,0,,19.342359767891683,9.090909090909092,8.510638298,3.0947775628626695,,0.7736943907156674,177,27,12.12,1.84,2.97,0.96,34.23597678916828,5.222437137330754,30,30,172.2,669,40,26.666666666666668,,0,0,0,18.236173393124066,8.520179372197308,8.520179372197308,3.8863976083707024,0,0.4484304932735426,185,37,9.64,1.93,2.97,0.92,27.65321375,5.53064275
7,Logan Webb,SFG,32,32,201,831,40.625,31.25,62.5,0,0,,23.345367027677497,9.867629362,8.904933814681106,1.9253910950661854,,0.7220216606498195,171,44,7.68,1.98,3.32,1.19,20.577617328519857,5.294825511432009,34,34,207,856,44.11764705882353,32.35294117647059,,0,0,0,24.53271028037383,9.579439252336448,8.644859813084112,1.6355140186915886,0,0.7009345794392523,224,46,9.74,2,3.22,1.24,26.1682243,5.373831776
8,Corbin Burnes,ARI,31,31,188,774,41.935483870967744,25.806451612903224,61.29032258064516,0,0,,21.57622739018088,9.819121447028424,9.043927648578812,2.3255813953488373,,0.9043927648578811,188,53,9,2.53,3.33,1.17,24.289405684754524,6.847545219638243,11,11,64.1,265,27.27272727272727,18.181818181818183,,0,0,0,18.49056603773585,8.679245283018867,7.169811320754717,2.6415094339622645,0.37735849056603776,1.1320754716981132,63,26,8.81,3.64,2.66,1.17,23.77358491,9.811320755
9,Dylan Cease,SDP,32,32,185,766,40.625,31.25,59.375,0,0,,19.58224543,10.052219321148826,9.268929504,2.741514360313316,,0.7832898172323759,218,69,10.64,3.37,3.46,1.19,28.459530026109658,9.007832898172325,32,32,168,722,25,37.5,,0,0,0,21.052631578947366,12.60387811634349,11.772853185595569,2.9085872576177287,0.2770083102493075,0.6925207756232686,215,71,11.52,3.8,4.55,1.33,29.77839335,9.833795014
10,Cole Ragans,KCR,31,31,179,749,38.70967741935484,29.03225806451613,58.06451612903226,0,0,,20.427236315086784,10.013351134846461,9.345794392523365,2.536715621,,0.801068091,201,67,10.12,3.37,3.5,1.23,26.83578104138852,8.945260347129507,13,13,61.2,257,23.076923076923077,23.076923076923077,,0,0,0,20.622568093385212,12.840466926070038,12.45136186770428,2.7237354085603114,0,0.7782101167315175,98,20,14.3,2.92,4.67,1.18,38.13229572,7.782101167
11,Sonny Gray,STL,31,31,181,744,41.935483870967744,29.03225806451613,58.06451612903226,0,0,,21.236559139784948,10.080645161290322,9.274193548387096,2.6881720430107525,,0.8064516129032258,191,50,9.5,2.48,3.41,1.15,25.672043010752688,6.720430107526881,32,32,180.2,753,43.75,25,,0,0,0,24.568393094289508,12.350597609561753,11.42098273572377,3.3200531208499333,0,0.398406375,201,38,10.01,1.89,4.28,1.23,26.69322709,5.046480744
12,Pablo Lopez,MIN,32,32,192,793,40.625,31.25,56.25,0,0,,22.06809583858764,10.718789407313997,9.962168978562422,3.0264817150063053,,1.1349306431273645,201,47,9.43,2.23,3.69,1.16,25.346784363177804,5.926860025220681,14,14,75.2,312,35.714285714285715,28.57142857142857,,0,0,0,20.51282051282051,8.974358974358974,7.371794871794872,1.9230769230769231,0,1.282051282051282,73,20,8.68,2.38,2.74,1.11,23.3974359,6.41025641
13,Yoshinobu Yamamoto,LAD,28,28,163,652,42.857142857142854,25,57.14285714285714,0,0,,20.858895705521473,10.429447852760736,9.509202453987731,2.9141104294478524,,0.6134969325153374,169,39,9.36,2.18,3.45,1.08,25.920245398773005,5.981595092,30,30,173.2,684,40,26.666666666666668,,0,0,0,16.52046783625731,7.748538011695906,7.017543859649122,2.046783625730994,0,0.43859649122807015,201,59,10.42,3.06,2.49,0.99,29.38596491,8.625730994
14,Aaron Nola,PHI,31,31,188,775,38.70967741935484,32.25806451612903,54.83870967741935,0,0,,22.70967741935484,11.096774193548386,10.32258064516129,3.225806451612903,,0.7741935483870968,185,43,8.86,2.06,3.84,1.16,23.870967741935484,5.548387096774193,17,17,94.1,404,29.411764705882355,58.82352941176471,,0,0,0,24.504950495049506,16.08910891089109,15.594059405940595,4.455445544554455,0,0.9900990099009901,97,28,9.25,2.67,6.01,1.35,24.00990099,6.930693069
15,Logan Gilbert,SEA,32,32,196,793,37.5,31.25,59.375,0,0,,21.563682219419924,10.08827238335435,9.205548549810844,3.0264817150063053,,0.6305170239596469,202,44,9.24,2,3.36,1.09,25.472887767969738,5.548549810844893,25,25,131,535,24,24,,0,0,0,19.439252336448597,9.906542056074766,9.345794392523365,3.7383177570093453,0,1.3084112149532712,173,31,11.89,2.13,3.44,1.03,32.3364486,5.794392523
