#,Name,Team,GS,G,IP,TBF,W,L,QS,SV,HLD,BS,H,R,ER,HR,IBB,HBP,SO,BB,K/9,BB/9,ERA,WHIP,K%,BB%,real_GS,real_G,real_IP,real_TBF,real_W,real_L,real_QS,real_SV,real_HLD,real_BS,real_H,real_R,real_ER,real_HR,real_IBB,real_HBP,real_SO,real_BB,real_K/9,real_BB/9,real_ERA,real_WHIP,real_K%,real_BB%
1,Paul Skenes,PIT,29,29,176.0,703,41.37931034482759,24.137931034482758,51.724137931034484,0.0,0.0,0.0,19.34566145092461,8.392603129445234,7.681365576102419,1.991465149359886,0.1422475106685633,0.995732574679943,220,48,11.24,2.46,2.76,1.05,31.29445235,6.827880512,32.0,32.0,187.2,733.0,31.25,31.25,,0.0,0.0,0.0,18.55388813096862,6.139154160982264,5.5934515688949515,1.5006821282401093,0.0,0.8185538881309686,216.0,42.0,10.36,2.01,1.97,0.95,29.5,5.7
2,Tarik Skubal,DET,30,30,183.2,726,46.666666666666664,23.333333333333332,53.333333333333336,0.0,0.0,0.0,20.110192837465565,8.81542699724518,8.1267217630854,2.3415977961432506,0.13774104683195593,0.9641873278236914,214,39,10.46,1.9,2.88,1.0,29.47658402,5.371900826,31.0,31.0,195.1,748.0,41.935483870967744,19.35483870967742,,0.0,0.0,0.0,18.850267379679146,7.352941176470589,6.417112299465241,2.406417112299465,0.0,0.6684491978609626,241.0,33.0,11.1,1.52,2.21,0.89,32.2,4.3999999999999995
3,Zack Wheeler,PHI,30,30,191.2,772,46.666666666666664,26.666666666666668,60.0,0.0,0.0,0.0,20.466321243523318,9.844559585492227,9.067357512953368,2.7202072538860103,0.1295336787564767,1.0362694300518136,205,48,9.63,2.26,3.28,1.08,26.55440415,6.21761658,24.0,24.0,149.2,585.0,41.66666666666667,20.833333333333336,,0.0,0.0,0.0,18.29059829059829,8.205128205128204,7.6923076923076925,3.2478632478632483,0.0,1.3675213675213675,195.0,33.0,11.73,1.98,2.71,0.94,33.29999999999999,5.59999999999999
4,Logan Webb,SFG,31,31,196.2,811,41.935483870967744,32.25806451612903,54.83870967741935,0.0,0.0,0.0,23.181257706535142,10.110974106041924,9.247842170160297,1.8495684340320593,0.12330456226880394,0.7398273736128237,168,45,7.71,2.05,3.44,1.18,20.71516646,5.548705302,34.0,34.0,207.0,856.0,44.11764705882353,32.35294117647059,,0.0,0.0,0.0,24.53271028037383,9.579439252336448,8.644859813084112,1.6355140186915886,0.0,0.7009345794392523,224.0,46.0,9.74,2.0,3.22,1.24,26.200000000000003,5.4
5,Garrett Crochet,BOS,29,31,157.0,632,35.483870967741936,25.806451612903224,38.70967741935484,0.0,0.0,3.225806451612903,19.62025316455696,9.651898734177216,8.860759493670885,2.5316455696202533,0.31645569620253167,0.949367088607595,205,45,11.74,2.58,3.21,1.08,32.43670886,7.120253165,32.0,32.0,205.1,814.0,56.25,15.625,,0.0,0.0,0.0,20.27027027027027,7.616707616707617,7.2481572481572485,2.9484029484029484,0.0,0.36855036855036855,255.0,46.0,11.18,2.02,2.59,1.03,31.3,5.7
6,Cole Ragans,KCR,30,30,177.2,736,40.0,30.0,50.0,0.0,0.0,0.0,20.108695652173914,10.190217391304348,9.375,2.4456521739130435,0.4076086956521739,0.8152173913043478,203,65,10.3,3.31,3.5,1.2,27.58152174,8.831521739,13.0,13.0,61.2,257.0,23.076923076923077,23.076923076923077,,0.0,0.0,0.0,20.622568093385212,12.840466926070038,12.45136186770428,2.7237354085603114,0.0,0.7782101167315175,98.0,20.0,14.3,2.92,4.67,1.18,38.1,7.8
7,Chris Sale,ATL,26,26,155.2,629,46.15384615384615,23.076923076923077,50.0,0.0,0.0,0.0,20.349761526232115,9.379968203497615,8.585055643879173,2.5437201907790143,0.1589825119236884,1.2718600953895072,188,40,10.85,2.32,3.14,1.08,29.88871224,6.359300477,20.0,21.0,125.2,510.0,33.33333333333333,23.809523809523807,,0.0,0.0,0.0,20.0,7.450980392156863,7.0588235294117645,2.156862745098039,0.0,2.156862745098039,165.0,32.0,11.82,2.29,2.58,1.07,32.4,6.3
8,Framber Valdez,HOU,29,29,186.0,771,48.275862068965516,27.586206896551722,55.172413793103445,0.0,0.0,0.0,21.011673151750973,9.72762645914397,8.949416342412452,2.075226977950713,0.12970168612191957,1.1673151750972763,183,58,8.84,2.79,3.33,1.18,23.73540856,7.522697795,31.0,31.0,192.0,802.0,41.935483870967744,35.483870967741936,,0.0,0.0,0.0,21.3216957605985,10.224438902743142,9.72568578553616,1.8703241895261846,0.0,0.8728179551122194,187.0,68.0,8.77,3.19,3.66,1.24,23.3,8.5
9,George Kirby,SEA,30,30,180.2,726,40.0,30.0,50.0,0.0,0.0,0.0,23.27823691460055,10.606060606060606,9.77961432506887,3.0303030303030303,0.13774104683195593,0.9641873278236914,170,25,8.44,1.23,3.51,1.07,23.41597796,3.443526171,23.0,23.0,126.0,524.0,43.47826086956522,34.78260869565217,,0.0,0.0,0.0,23.091603053435115,11.450381679389313,11.259541984732824,2.8625954198473282,0.0,1.3358778625954197,137.0,29.0,9.79,2.07,4.21,1.19,26.1,5.5
10,Dylan Cease,SDP,31,31,183.1,754,38.70967741935484,29.03225806451613,45.16129032258064,0.0,0.0,0.0,19.49602122015915,10.344827586206897,9.549071618037134,2.7851458885941645,0.1326259946949602,0.7957559681697612,216,68,10.59,3.34,3.53,1.17,28.64721485,9.018567639,32.0,32.0,168.0,722.0,25.0,37.5,,0.0,0.0,0.0,21.052631578947366,12.60387811634349,11.772853185595569,2.9085872576177287,0.2770083102493075,0.6925207756232686,215.0,71.0,11.52,3.8,4.55,1.33,29.799999999999997,9.8
